,제목,가사,가수,발매일,좋아요수,장르
15,장녹수,"가는 세월 바람타고
흘러가는 저 구름아
수많은 사연 담아
가는 곳이 어드메냐
구중궁궐 처마 끝에
한 맺힌 매듭 엮어
눈물강 건너서
높은 뜻 걸었더니
부귀도 영화도
구름인양 간 곳 없고
어이타 녹수는
청산에 홀로 우는가
한 조각 구름 따라
떠도는 저 달님아
한 많은 사연 담아
내 숨은 곳 어드메냐
곤룡포 한 자락에
구곡간장 애태우며
안개강 건너서
높은 뜻 기웠더니
부귀도 영화도
구름인양 간 곳 없고
어이타 녹수는
청산에 홀로 우는가
청산에 홀로 우는가",정미애,2020.11.21,336,성인가요/트로트
16,사랑참,"잡힐 듯 잡히지 않는
사랑이 너무 아쉬워
다가가면 더 멀어지는
사랑 참 힘드네요
보일 듯 보이지 않는
참을 만해요 괜찮아요
힘들면 좀 어때요
사랑을 잃은 아픔보다
참는 게 더 쉬워요
들리나요 사랑아
내 슬픈 사랑아
보이나요 사랑아
내 아픈 사랑아
참을 만해요 괜찮아요
힘들면 좀 어때요
사랑을 잃은 아픔보다
참는 게 더 쉬워요
들리나요 사랑아
내 슬픈 사랑아
보이나요 사랑아
내 아픈 사랑아
들리나요 사랑아
내 아픈 사랑아
보이나요 사랑아
내 아픈 사랑아
사랑 참 힘드네요",홍자,2020.11.21,379,성인가요/트로트
17,만고땡,"등따숩고 배부르고 당신 있으면
그게 바로 만고땡이지
따뜻하게 안아주는 당신 있으면
내인생 사르르 만고땡
당신이 나의 곁에 없으면
부귀영화도 다 소용없어요
마디 마디 바람들고 힘이들어도
고생했소 그 한 마디면
만고가 땡이요 만사가 술술
내 인생은 만고땡이야
실타래가 잘풀려야 높이 나는 법
당신은 나의 연이요
다독이며 안아주는 가슴하나면
내인생 사르르 만고땡
대단한 거 아니라해도
작은 위로가 날 풀리게해요
마디마디 매듭지고 답답하여도
따뜻하게 안아줄때면
만고가 땡이요 만사가 술술
내 인생은 만고땡이야
당신이 나의 곁에 없으면
부귀영화도 다 소용없어요
마디 마디 바람들고 힘이들어도
고생했소 그 한 마디면
만고가 땡이요 만사가 술술
내 인생은 만고땡이야
내 인생은 만고땡이야",강혜연,2020.12.03,314,성인가요/트로트
18,사랑님,"몇 굽이 돌고 돌아
사랑 님을 보았을까
새벽안개 이슬 되어
알알이 맺혔구나
한 올 한 올 타는 가슴
어디에 둘까
그리운 맘
사랑에 젖네
아아 아아
안타까운 내 님이여
저 구름에 몸을 실어
둥실둥실 띄워볼까
저 바람은
내 맘 알까
먹물 같은 이 내 심정
사랑 님은 아시려나
몇 굽이 돌고 돌아
사랑 님을 보았을까
새벽 안개 이슬 되어
알알이 맺혔구나
한 올 한 올 타는 가슴
어디에 둘까
그리운 맘
사랑에 젖네
아아 아아
안타까운 내 님이여
저 구름에 몸을 실어
둥실둥실 띄워볼까
저 바람은
내 맘 알까
먹물 같은 이 내 심정
사랑 님은 아시려나
우리 님은 아시려나",김민건,2020.12.12,43,성인가요/트로트
19,마스크(Mask),"마스크 마스크
마스크가 되어주세요
내게
아픈 날에도
슬픈 날에도
지켜주세요
마스크 마스크
마스크가 되어주세요
지금
당신 품에 나는 정말
안전합니다
아이 무서워
너무나 무서워
누구 말을
들어야 하나
사랑도 가짜
우정도 가짜
가짜뿐인 세상
아이 무서워
너무나 무서워
이불 밖은
너무 위험해
그런 내게 운명처럼
나타난 사람
마스크 마스크
마스크가 되어주세요
내게
아픈 날에도
슬픈 날에도
지켜주세요
마스크 마스크
마스크가 되어주세요
지금
당신 품에 나는 정말
안전합니다
아이 무서워
너무나 무서워
누구 말을
들어야 하나
사랑도 가짜
우정도 가짜
가짜뿐인 세상
아이 무서워
너무나 무서워
이불 밖은
너무 위험해
그런 내게 운명처럼
나타난 사람
마스크 마스크
마스크가 되어주세요
내게
아픈 날에도
슬픈 날에도
지켜주세요
마스크 마스크
마스크가 되어주세요
지금
당신 품에 나는 정말
안전합니다
M.A.S.K
애 어른 할 거 없네
L.O.V.E
언제나 지켜줄래
너 없이는
아무 데도 못가
너 없이는
아무것도 못해
너 없이는
살 수가 없어
너로 인해
다시 사는 세상
마스크 마스크
마스크가 되어주세요
내게
아픈 날에도
슬픈 날에도
지켜주세요
마스크 마스크
마스크가 되어주세요
지금
당신 품에 나는 정말
안전합니다
당신 품에 나는 정말
안전합니다",안성준,2021.01.12,176,성인가요/트로트
20,사랑아 기죽지마라,"사랑아 기죽지마라
내나이는 죄도 벌도 아니야
누구나 건너야 하는 그 자리에
먼저 와 있을 뿐이야
아직 난 사랑할수 있어
마음은 늘 청춘 이니까
세월은 속일순 없나봐
잡을수도 없겠지
어느새 변해버린 모습
괜시리 또 서러워지네
가슴은 늘 그대로 인데
꿈은 어데로갔나
사랑아 기죽지마라
내나이는 죄도 벌도 아니야
누구나 건너야 하는 그 자리에
먼저 와 있을 뿐이야
아직 난 사랑할수 있어
마음은 늘 청춘 이니까
세월은 속일순 없나봐
잡을수도 없겠지
어느새 변해버린 모습
괜시리 또 서러워지네
가슴은 늘 그대로 인데
꿈은 어데로갔나
사랑아 기죽지마라
내나이는 죄도 벌도 아니야
누구나 건너야 하는 그 자리에
먼저 와 있을 뿐이야
아직 난 사랑할수 있어
마음은 늘 청춘 이니까
마음은 늘 청춘 이니까",조항조,2021.01.27,107,성인가요/트로트
21,소녀의 기도,"저 바람은 불어와 어디로 가나
저 구름은 흘려서 어디로 가나
바람되어 구름되어 따라 가고파
꽃이 아름다운건 꽃이기 때문이고
별이 빛나는건 별이기 때문이다
나도 꽃이고 별이고 싶다
세상 모든 이에게
내가 살아가야할 무한의 날들
드넓은 이 세상에
오늘도 난 꿈을 꾼다
별처럼 빛나기를
소녀는 간절히 기도 합니다
꽃이 아름다운건 꽃이기 때문이고
별이 빛나는건 별이기 때문이다
나도 꽃이고 별이고 싶다
세상 모든 이에게
내가 살아가야할 무한의 날들
드넓은 이 세상에
오늘도 난 꿈을 꾼다
별처럼 빛나기를
소녀는 간절히 기도 합니다
소녀는 간절히 기도 합니다",김다현,2020.10.23,372,성인가요/트로트
22,젊은 초원,"이슬이 젖는 넓은 초원에
샛별 바라보며 피워 나는
이름 모를 꽃송이
새파란 잔디 위에
아침 햇살 눈부실 때
하늘 멀리 흘러가는 흰 구름에
젊은 꿈 실어보네
초원은 푸르고 마음도 푸르니
가슴속에 메아리 흘러서
끝없이 달려가는
젊은 초원은 나의 마음
새파란 잔디 위에
아침해살 눈부실때
하늘 멀리 흘러가는 흰구름에
젊은 꿈 실어보네
초원은 푸르고 마음도 푸르니
가슴속에 메아리 흘러서
끝없이 달려가는
젊은 초원은 나의 마음",장민호,2021.04.27,"1,780",성인가요/트로트
23,내사랑이 마쭈? (Feat. 마쭈),"사나이 넓은 가슴에
깊숙히 들어온 그대
내 친구의 초딩누이
뽀뽀를 하고싶어라
커다란 나의 마음을
긴글로 표현못하네
왜냐하면 나는아직
한글을 모르니까
니가 어린남자 싫다고해서
기저귀도 버렸었는데
강한남자 좋다해서
김치도 씻어 먹어
마 마 마
마쭈 마쭈 마쭈
나를 좋아하는거 마쭈
마쭈 마쭈 마쭈
나를 사랑하는거 마쭈
사나이 울리지마라
마쭈 마쭈 마쭈 마쭈 내사랑이 마쭈
마쭈 마쭈 마쭈 마쭈 내운명이 마쭈
오늘도 놀이터에서
그네에 앉아있었네
혹시니가 내뒤에서
밀어밀어 밀어줄까봐
다섯평생 왜이리도
악착같이 사랑했나
내눈물을 커피맛
우유로 달래본다
니가 어린남자 싫다고해서
기저귀도 버렸었는데
강한남자 좋다고해서
김밥도 그냥 먹어
마 마 마
마쭈 마쭈 마쭈
나를 좋아하는거 마쭈
마쭈 마쭈 마쭈
나를 사랑하는거 마쭈
사나이 울리지마라
마 마 마
마쭈 마쭈 마쭈
나를 좋아하는거 마쭈
마쭈 마쭈 마쭈
나를 사랑하는거 마쭈
사나이 울리지마라
사나이 울리지마라
마쭈 마쭈 마쭈 마쭈 내사랑이 마쭈
마쭈 마쭈 마쭈 마쭈 내운명이 마쭈
마쭈",김준호,2021.05.02,160,성인가요/트로트
24,갑이야,"당신이 시키면 나는 한다
당신이 갑이니까
나는 나는 평생 을로 살래
당신이 갑이니까
당신이 오라면 나는 간다
당신이 갑이니까
나는 나는 평생 을로 살래
당신이 갑이니까
노예도 좋아 비서도 좋아
마당 쓰는 머슴도 좋아
당신 없인 살 수 없는 내 인생
이 한 몸 부서질래
당신이 갑이야 갑이야
당신 말이 법이야 법이야
누가 뭐래도 난 그렇게 살 거야
당신은 한 평생 곁에서
밥만 먹여 주면 돼
당신이 갑 당신이 갑이야
당신이 시키면 나는 한다
당신이 갑이니까
나는 나는 평생 을로 살래
당신이 갑이니까
당신이 오라면 나는 간다
당신이 갑이니까
나는 나는 평생 을로 살래
당신이 갑이니까
노예도 좋아 비서도 좋아
마당 쓰는 머슴도 좋아
당신 없인 살 수 없는 내 인생
이 한 몸 부서질래
당신이 갑이야 갑이야
당신 말이 법이야 법이야
누가 뭐래도 난 그렇게 살 거야
당신은 한 평생 곁에서
밥만 먹여 주면 돼
당신이 갑 당신이 갑이야
당신이 갑이야 갑이야
당신 말이 법이야 법이야
누가 뭐래도 난 그렇게 살 거야
당신은 한 평생 곁에서
밥만 먹여 주면 돼
당신이 갑 당신이 갑이야
당신이 갑 당신이 갑이야",장민호,2021.05.04,"1,839",성인가요/트로트
25,황홀한 고백,"네온이 불타는 거리
가로등 불빛 아래서
그 언젠가 만났던 너와 나
지금은 무엇을 할까
생각에 잠기면 하염없이
그날이 그리워지네
불타는 눈동자 목마른 그 입술
별들도 잠이 들고
이대로 영원히 너만을 사랑해
황홀한 그 한마디
지금도 늦지 않았어
내 곁에 돌아온다면
나는 너를 영원히 사랑할꺼야
불타는 눈동자 목마른 그 입술
별들도 잠이 들고
이대로 영원히 너만을 사랑해
황홀한 그 한마디
지금도 늦지 않았어
내 곁에 돌아온다면
나는 너를 영원히 사랑할꺼야
나는 너를 영원히 사랑할꺼야
나는 너를 영원히 사랑할꺼야",양지은,2021.05.12,"1,053",성인가요/트로트
26,님과 함께,"저 푸른 초원 위에
그림 같은 집을 짓고
사랑하는 우리 님과
한 백년 살고 싶어
봄이면 씨앗 뿌려
여름이면 꽃이 피네
가을이면 풍년 되어
겨울이면 행복하네
멋쟁이 높은 빌딩 으시대지만
유행 따라 사는 것도 제멋이지만
반딧불 초가집도 님과 함께면
나는 좋아 나는 좋아 님과 함께면
님과 함께 같이 산다면
저 푸른 초원 위에
그림 같은 집을 짓고
사랑하는 우리 님과
한 백년 살고 싶어
멋쟁이 높은 빌딩 으시대지만
유행 따라 사는 것도 제멋이지만
반딧불 초가집도 님과 함께면
나는 좋아 나는 좋아 님과 함께면
님과 함께 같이 산다면
저 푸른 초원 위에
그림 같은 집을 짓고
사랑하는 우리 님과
한 백년 살고 싶어",김다현,2021.06.09,324,성인가요/트로트
27,어머나!,"어머나 어머나 이러지 마세요
여자의 마음은 갈대랍니다
안돼요 왜 이래요 묻지 말아요
더이상 내게 원하시면 안돼요
오늘 처음 만난 당신이지만
내 사랑인걸요
헤어지면 남이 되어 모른 척하겠지만
좋아해요 사랑해요
거짓말처럼 당신을 사랑해요
소설속에 영화속의
멋진 주인공은 아니지만
괜찮아요 말해봐요
당신 위해서라면 다 줄게요
어머나 어머나 이러지 마세요
여자의 마음은 바람입니다
안돼요 왜 이래요 잡지 말아요
더 이상 내게 바라시면 안돼요
오늘 처음 만난 당신이지만
내 사랑인걸요
헤어지면 남이 되어
모른 척하겠지만
좋아해요 사랑해요
거짓말처럼 당신을 사랑해요
소설속에 영화속의
멋진 주인공은 아니지만
괜찮아요 말해봐요
당신 위해서라면 다 줄게요
소설속에 영화속의
멋진 주인공은 아니지만
괜찮아요 말해봐요
당신 위해서라면 다 줄게요",양지은,2021.07.07,"1,563",성인가요/트로트
28,모르고,"사랑했어요 사랑했어요
당신을 사랑 했어요
아무것도 모르고 모르고
사랑했어요 당신을
사랑이 이렇게 아픈 줄도 모르고
당신을 사랑했어요
사랑은 날마다 행복한줄 알았고
사랑은 꿀처럼 달콤한 줄 알았지
나는 몰랐네 나는 몰랐네
아픈 줄 나는 몰랐네
사랑했어요 사랑했어요
당신을 사랑 했어요
이제 나는 알았네 알았네
사랑이 뭔지 알았네
이별의 눈물을 흘려보고 나서야
사랑의 진실 알았네
사랑은 유리잔 깨어질까 두렵고
사랑은 카멜레온 떠날까봐 무섭고
나는 알았네 나는 알았네
이제야 나는 알았네
사랑은 봄처럼 따뜻한 줄 알았고
사랑은 별처럼 예쁜 줄만 알았지
나는 몰랐네 나는 몰랐네
아픈 줄 나는 몰랐네
아픈 줄 나는 몰랐네",김의영,2021.07.14,151,성인가요/트로트
29,메밀꽃 필무렵 (Inst.),"내가 얼마나 외롭게 했는지
꿈에 한 번 나오질 않아
비 내린 강가에 연어 떼처럼
돌이킬 수 없는 내 사랑
내가 얼마나 힘들게 했는지
그대 울던 모습만 남아
소란한 밤 사이 별똥별처럼
내 마음에 콕 박힌 당신
새끼손가락 걸고 영원을 약속했던
내 사랑은 지금 어디에
슬픈 초승달이 기울면
하얀 메밀꽃길 따라서
그댈 찾아 떠나가겠소
처음 가는 세상 나 길 잃을지 모르니
그대가 꼭 마중나와주오
그대 떠나던 그 날의 아침은
귀뚜라미마저 조용해
떠나는 발소리 하나 없었던
마지막 내 당신의 모습
새끼손가락 걸고 영원을 약속했던
내 사랑은 지금 어디에
슬픈 초승달이 기울면
하얀 메밀꽃길 따라서
그댈 찾아 떠나가겠소
처음 가는 세상 나 길 잃을지 모르니
그대가 꼭 마중나와주오
그대가 꼭 마중나와주오",이찬원,2021.10.07,"3,234",성인가요/트로트
